point,AP,db,Out_small,In_small,large_small
fh_3_6,FH-AP-560_Entrance,-64,642.5082467988,20586.5172230114,21013.3504929316
fh_4_11,FH-AP-529,-64,696.0125364062,12580.6494140625,11168.1083836573
fh_5_3,FH-AP-5thFlrSE,-63,788.0049602618,17053.7692057292,17656.790316617
fh_2_10,FH-AP-228,-62,638.1502922141,11741.939453125,10171.0327435662
fh_3_2,FH-AP-250,-62,652.6734984529,3082.9503509186,3014.4048143876
fh_3_5,FH-AP-345_DC,-62,673.3974569123,1862.3173450817,1723.2971083604
fh_4_20,FH-AP-529,-62,694.4106940167,5787.0987304688,3937.2736039145
fh_3_19,FH-AP-310a,-62,840.5808319174,7129.0346679688,7698.5153079343
fh_5_11,FH-AP-529,-62,902.8779293775,8387.099609375,9785.6738825464
fh_3_13,FH-AP-2ndFlr_East_DC,-61,645.1649238887,11532.2619628906,13446.0061385086
fh_2_5,FH-AP-2ndFlr_East_DC,-60,576.7679551402,8387.099609375,8306.5302328086
fh_4_19,FH-AP-516,-59,557.3546908126,7967.7446289063,9842.8840215774
fh_2_3,FH-AP-123,-59,785.2093637349,12580.6494140625,16474.0913085938
fh_4_2,FH-AP-547,-59,877.7433883999,12580.6494140625,16043.1451231061
fh_4_17,FH-AP-416DC,-59,895.8083434999,7129.0346679688,7972.8092025162
fh_4_13,FH-AP-416DC,-58,566.3360131281,7296.7766601563,9744.0740572133
fh_3_22,FH-AP-228,-58,757.5901692679,6458.0666992188,10419.5107421875
fh_4_1,FH-AP-450,-58,848.9946893774,11741.939453125,8443.6886850663
fh_2_15,FH-AP-2ndFlrW_DC,-57,506.5161505038,3461.1469186307,2413.8437311106
fh_5_2,FH-AP-5thFlrDC,-57,778.4719813239,22645.1689453125,21724.0764508929
fh_2_1,FH-AP-272,-56,546.509230116,12580.6494140625,10754.3644260438
fh_2_18,FH-AP-2ndFlrW_DC,-56,661.5222430657,5080.1860491072,7459.3560387095
fh_4_3,FH-AP-4th-Flr-DC,-56,819.6259139319,12580.6494140625,14536.7324316309
fh_3_3,FH-AP-450,-56,830.1345222543,1729.0328425481,1615.3398183512
fh_5_15,FH-AP-516,-56,879.8390070989,12580.6494140625,11345.8876908937
fh_3_25,FH-AP-3rdDC,-55,591.7541719718,6500.0021972656,5063.9723633418
fh_3_20,FH-AP-5thFlrSE,-55,671.7298231719,9944.7038225446,12230.9426574115
fh_3_17,FH-AP-302,-55,832.7191755022,11741.939453125,21422.3531668527
fh_2_11,FH-AP-228,-54,624.8015452317,6709.6796875,7759.7345249859
fh_3_4,FH-AP-250,-54,679.1295194253,3692.502295556,4183.1877565561
fh_2_4,FH-AP-2ndFlr_East_DC,-53,628.0372747593,17612.9091796875,18344.7756696429
fh_4_14,FH-AP-416DC,-53,763.0629077999,9225.8095703125,8993.7278700347
fh_4_7,FH-AP-457,-53,795.5533745675,22645.1689453125,19898.2637577267
fh_2_14,FH-AP-2ndFlrW_DC,-53,803.9755080098,4696.77578125,3248.8984945036
fh_2_9,FH-AP-2ndFlr_East_DC,-52,682.1302869114,6290.3247070313,6629.0912533236
fh_4_23,FH-AP-5thFlrSE,-52,729.9094649755,2549.67828125,1641.9074189914
fh_5_19,FH-AP-516,-52,778.3679916982,4315.5439808239,3752.1241844402
fh_4_4,FH-AP-4th-Flr-DC,-52,792.3464910472,12580.6494140625,16545.7828239469
fh_4_6,FH-AP-457,-52,806.1746918969,17612.9091796875,17553.5901692708
fh_5_14,FH-AP-505_Hallway,-52,835.901323809,10903.2294921875,11767.2080775669
fh_4_9,FH-AP-5thFlrSE,-52,912.0031509589,3580.6743007643,3466.8622763767
fh_5_6,FH-AP-570_Suite,-51,568.7067071101,11741.939453125,11452.0748697917
fh_3_7,FH-AP-370,-51,773.2478254797,22645.1689453125,22461.6222563244
fh_4_5,FH-AP-560_Entrance,-51,778.4211759442,13838.7143554688,14848.4428267045
fh_4_18,FH-AP-416DC,-51,779.2923169918,6206.4537109375,9006.5517779638
fh_2_6,FH-AP-2ndFlr_East_DC,-50,645.0840052452,10903.2294921875,11966.1907151442
fh_2_13,FH-AP-228,-50,704.9700901842,5032.259765625,5856.9476192375
fh_5_7,FH-AP-570_Suite,-49,663.1773691538,10903.2294921875,14351.7736727503
fh_5_13,FH-AP-505_Hallway,-49,739.1462368317,8387.099609375,9497.9908226252
fh_3_16,FH-AP-302,-49,761.46768927,11741.939453125,10158.0172293527
fh_3_18,FH-AP-310a,-47,693.520694871,8387.099609375,9718.2506127451
fh_4_12,FH-AP-403,-46,559.846613823,8722.58359375,8703.89430594
fh_2_2,FH-AP-272,-46,671.5277306817,11741.939453125,20396.4940011161
fh_3_9,FH-AP-370,-46,854.0794242611,12580.6494140625,12811.6348300137
fh_5_18,FH-AP-516,-46,854.3252000738,4325.3470842634,7159.4613806333
fh_3_10,FH-AP-370,-46,856.4757384352,12580.6494140625,11771.8499742445
fh_5_4,FH-AP-560_Entrance,-46,863.1321666966,10903.2294921875,11582.6244214483
fh_5_17,FH-AP-5thFlrWest,-45,769.1249091931,12580.6494140625,13430.5543870192
fh_2_7,FH-AP-250,-44,659.5344400005,7967.7446289063,8887.8392926773
fh_5_10,FH-AP-560_Entrance,-43,645.8457768065,1346.8011814292,1439.1430370292
fh_5_8,FH-AP-570_Suite,-42,797.2753198678,8387.099609375,8459.8766548149
fh_2_23,FH-AP-204,-42,904.7190119725,25161.298828125,19278.529832883
fh_5_16,FH-AP-5thFlrWest,-40,825.9771944011,12580.6494140625,9830.6931818182
fh_3_8,FH-AP-370,-39,805.6475996895,12580.6494140625,11957.5258413462
fh_4_21,FH-AP-423,-38,638.033367573,5619.3567382813,4647.688838938
fh_5_21,FH-AP-529,-38,773.4262111503,10903.2294921875,10395.0649003546
fh_2_8,FH-AP-250,-37,672.3824597556,6877.4216796875,6827.4391710069
fh_2_22,FH-AP-204,-35,742.2180414785,25161.298828125,21909.7523179945
fh_5_12,FH-AP-5thFlrSE,-35,918.8066648126,4576.9600725446,7151.7163919958
